"REF_DATE","GEO","DGUID","Homicides","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.71","","","","2"
"2016","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.71","","","","2"
"2017","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.83","","","","2"
"2018","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.78","","","","2"
"2019","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.80","","","","2"
"2015","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","1.37","","","","2"
"2016","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","1.58","","","","2"
"2017","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","1.51","","","","2"
"2018","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","2.31","","","","2"
"2019","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","2.03","","","","2"
"2015","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.18","","","","2"
"2016","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.02","","","","2"
"2017","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.10","","","","2"
"2018","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.11","","","","2"
"2019","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.05","","","","2"
"2015","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.85","","","","2"
"2016","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.59","","","","2"
"2017","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.99","","","","2"
"2018","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.66","","","","2"
"2019","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.52","","","","2"
"2015","Calgary, Alberta","2011S0503825","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489145","5.2","2.80","","","","2"
"2016","Calgary, Alberta","2011S0503825","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489145","5.2","2.27","","","","2"
"2017","Calgary, Alberta","2011S0503825","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489145","5.2","2.10","","","","2"
"2018","Calgary, Alberta","2011S0503825","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489145","5.2","1.34","","","","2"
"2019","Calgary, Alberta","2011S0503825","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489145","5.2","1.57","","","","2"
"2015","Edmonton, Alberta","2011S0503835","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489147","6.2","2.83","","","","2"
"2016","Edmonton, Alberta","2011S0503835","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489147","6.2","3.43","","","","2"
"2017","Edmonton, Alberta","2011S0503835","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489147","6.2","3.51","","","","2"
"2018","Edmonton, Alberta","2011S0503835","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489147","6.2","2.60","","","","2"
"2019","Edmonton, Alberta","2011S0503835","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489147","6.2","2.20","","","","2"
"2015","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489143","4.2","0.71","","","","2"
"2016","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489143","4.2","2.34","","","","2"
"2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489143","4.2","1.34","","","","2"
"2018","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489143","4.2","1.59","","","","2"
"2019","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489143","4.2","1.19","","","","2"
"2015","Winnipeg, Manitoba","2011S0503602","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489151","8.2","2.74","","","","2"
"2016","Winnipeg, Manitoba","2011S0503602","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489151","8.2","3.18","","","","2"
"2017","Winnipeg, Manitoba","2011S0503602","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489151","8.2","2.99","","","","2"
"2018","Winnipeg, Manitoba","2011S0503602","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489151","8.2","2.69","","","","2"
"2019","Winnipeg, Manitoba","2011S0503602","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489151","8.2","5.31","","","","2"
"2015","Québec, Quebec","2011S0503421","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489149","7.2","0.25","","","","2"
"2016","Québec, Quebec","2011S0503421","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489149","7.2","0.13","","","","2"
"2017","Québec, Quebec","2011S0503421","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489149","7.2","1.25","","","","2"
"2018","Québec, Quebec","2011S0503421","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489149","7.2","0.37","","","","2"
"2019","Québec, Quebec","2011S0503421","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489149","7.2","0.61","","","","2"
"2015","Hamilton, Ontario","2011S0503537","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489153","9.2","0.94","","","","2"
"2016","Hamilton, Ontario","2011S0503537","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489153","9.2","1.60","","","","2"
"2017","Hamilton, Ontario","2011S0503537","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489153","9.2","1.60","","","","2"
"2018","Hamilton, Ontario","2011S0503537","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489153","9.2","1.19","","","","2"
"2019","Hamilton, Ontario","2011S0503537","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489153","9.2","1.83","","","","2"
"2015","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489157","11.2","1.11","","","","2"
"2016","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489157","11.2","1.08","","","","2"
"2017","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489157","11.2","0.88","","","","2"
"2018","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489157","11.2","1.21","","","","2"
"2019","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489157","11.2","0.84","","","","2"
"2015","London, Ontario","2011S0503555","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489161","13.2","1.59","","","","2"
"2016","London, Ontario","2011S0503555","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489161","13.2","1.56","","","","2"
"2017","London, Ontario","2011S0503555","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489161","13.2","1.34","","","","2"
"2018","London, Ontario","2011S0503555","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489161","13.2","1.12","","","","2"
"2019","London, Ontario","2011S0503555","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489161","13.2","0.91","","","","2"
"2015","St. Catharines-Niagara, Ontario","2011S0503539","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489159","12.2","1.54","","","","2"
"2016","St. Catharines-Niagara, Ontario","2011S0503539","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489159","12.2","0.22","","","","2"
"2017","St. Catharines-Niagara, Ontario","2011S0503539","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489159","12.2","0.64","","","","2"
"2018","St. Catharines-Niagara, Ontario","2011S0503539","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489159","12.2","0.42","","","","2"
"2019","St. Catharines-Niagara, Ontario","2011S0503539","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489159","12.2","1.25","","","","2"
"2015","Oshawa, Ontario","2011S0503532","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489169","17.2","0.47","","","","2"
"2016","Oshawa, Ontario","2011S0503532","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489169","17.2","0.94","","","","2"
"2017","Oshawa, Ontario","2011S0503532","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489169","17.2","1.12","","","","2"
"2018","Oshawa, Ontario","2011S0503532","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489169","17.2","1.74","","","","2"
"2019","Oshawa, Ontario","2011S0503532","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489169","17.2","0.84","","","","2"
"2015","Halifax, Nova Scotia","2011S0503205","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489163","14.2","1.96","","","","2"
"2016","Halifax, Nova Scotia","2011S0503205","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489163","14.2","2.90","","","","2"
"2017","Halifax, Nova Scotia","2011S0503205","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489163","14.2","1.90","","","","2"
"2018","Halifax, Nova Scotia","2011S0503205","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489163","14.2","1.63","","","","2"
"2019","Halifax, Nova Scotia","2011S0503205","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489163","14.2","0.68","","","","2"
"2015","Victoria, British Columbia","2011S0503935","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489165","15.2","2.13","","","","2"
"2016","Victoria, British Columbia","2011S0503935","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489165","15.2","0.26","","","","2"
"2017","Victoria, British Columbia","2011S0503935","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489165","15.2","1.28","","","","2"
"2018","Victoria, British Columbia","2011S0503935","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489165","15.2","0.50","","","","2"
"2019","Victoria, British Columbia","2011S0503935","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489165","15.2","0.50","","","","2"
"2015","Windsor, Ontario","2011S0503559","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489167","16.2","1.79","","","","2"
"2016","Windsor, Ontario","2011S0503559","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489167","16.2","0.88","","","","2"
"2017","Windsor, Ontario","2011S0503559","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489167","16.2","0.87","","","","2"
"2018","Windsor, Ontario","2011S0503559","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489167","16.2","2.87","","","","2"
"2019","Windsor, Ontario","2011S0503559","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489167","16.2","1.69","","","","2"
"2015","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v14131175","31.2","0.31","","","","2"
"2016","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v14131175","31.2","0.92","","","","2"
"2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v14131175","31.2","0.30","","","","2"
"2018","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v14131175","31.2","1.20","","","","2"
"2019","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v14131175","31.2","0.88","","","","2"
"2015","Saskatoon, Saskatchewan","2011S0503725","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489173","19.2","3.27","","","","2"
"2016","Saskatoon, Saskatchewan","2011S0503725","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489173","19.2","3.18","","","","2"
"2017","Saskatoon, Saskatchewan","2011S0503725","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489173","19.2","1.55","","","","2"
"2018","Saskatoon, Saskatchewan","2011S0503725","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489173","19.2","2.43","","","","2"
"2019","Saskatoon, Saskatchewan","2011S0503725","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489173","19.2","4.76","","","","2"
"2015","Regina, Saskatchewan","2011S0503705","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489175","20.2","3.73","","","","2"
"2016","Regina, Saskatchewan","2011S0503705","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489175","20.2","3.64","","","","2"
"2017","Regina, Saskatchewan","2011S0503705","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489175","20.2","3.56","","","","2"
"2018","Regina, Saskatchewan","2011S0503705","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489175","20.2","3.10","","","","2"
"2019","Regina, Saskatchewan","2011S0503705","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489175","20.2","3.05","","","","2"
"2015","Barrie, Ontario","2011S0503568","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154452","34.2","1.39","","","","2"
"2016","Barrie, Ontario","2011S0503568","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154452","34.2","0.91","","","","2"
"2017","Barrie, Ontario","2011S0503568","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154452","34.2","2.23","","","","2"
"2018","Barrie, Ontario","2011S0503568","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154452","34.2","0.00","","","","2"
"2019","Barrie, Ontario","2011S0503568","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154452","34.2","1.18","","","","2"
"2015","Kelowna, British Columbia","2011S0503915","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154453","35.2","1.52","","","","2"
"2016","Kelowna, British Columbia","2011S0503915","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154453","35.2","3.45","","","","2"
"2017","Kelowna, British Columbia","2011S0503915","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154453","35.2","2.90","","","","2"
"2018","Kelowna, British Columbia","2011S0503915","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154453","35.2","0.94","","","","2"
"2019","Kelowna, British Columbia","2011S0503915","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154453","35.2","0.46","","","","2"
"2015","St. John's, Newfoundland and Labrador","2011S0503001","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489177","21.2","0.97","","","","2"
"2016","St. John's, Newfoundland and Labrador","2011S0503001","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489177","21.2","1.92","","","","2"
"2017","St. John's, Newfoundland and Labrador","2011S0503001","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489177","21.2","1.44","","","","2"
"2018","St. John's, Newfoundland and Labrador","2011S0503001","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489177","21.2","0.48","","","","2"
"2019","St. John's, Newfoundland and Labrador","2011S0503001","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489177","21.2","1.92","","","","2"
"2015","Sherbrooke, Quebec","2011S0503433","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489181","23.2","0.51","","","","2"
"2016","Sherbrooke, Quebec","2011S0503433","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489181","23.2","1.01","","","","2"
"2017","Sherbrooke, Quebec","2011S0503433","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489181","23.2","0.50","","","","2"
"2018","Sherbrooke, Quebec","2011S0503433","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489181","23.2","1.98","","","","2"
"2019","Sherbrooke, Quebec","2011S0503433","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489181","23.2","0.49","","","","2"
"2015","Abbotsford-Mission, British Columbia","2011S0503932","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546014","33.2","1.63","","","","2"
"2016","Abbotsford-Mission, British Columbia","2011S0503932","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546014","33.2","3.18","","","","2"
"2017","Abbotsford-Mission, British Columbia","2011S0503932","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546014","33.2","4.66","","","","2"
"2018","Abbotsford-Mission, British Columbia","2011S0503932","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546014","33.2","3.03","","","","2"
"2019","Abbotsford-Mission, British Columbia","2011S0503932","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546014","33.2","0.50","","","","2"
"2015","Kingston, Ontario","2011S0503521","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546012","32.2","1.84","","","","2"
"2016","Kingston, Ontario","2011S0503521","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546012","32.2","0.00","","","","2"
"2017","Kingston, Ontario","2011S0503521","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546012","32.2","0.60","","","","2"
"2018","Kingston, Ontario","2011S0503521","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546012","32.2","2.34","","","","2"
"2019","Kingston, Ontario","2011S0503521","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v28546012","32.2","1.73","","","","2"
"2015","Saguenay, Quebec","2011S0503408","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489183","24.2","0.60","","","","2"
"2016","Saguenay, Quebec","2011S0503408","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489183","24.2","1.19","","","","2"
"2017","Saguenay, Quebec","2011S0503408","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489183","24.2","0.00","","","","2"
"2018","Saguenay, Quebec","2011S0503408","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489183","24.2","0.59","","","","2"
"2019","Saguenay, Quebec","2011S0503408","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489183","24.2","0.00","","","","2"
"2015","Greater Sudbury, Ontario","2011S0503580","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489179","22.2","1.21","","","","2"
"2016","Greater Sudbury, Ontario","2011S0503580","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489179","22.2","0.00","","","","2"
"2017","Greater Sudbury, Ontario","2011S0503580","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489179","22.2","0.60","","","","2"
"2018","Greater Sudbury, Ontario","2011S0503580","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489179","22.2","0.59","","","","2"
"2019","Greater Sudbury, Ontario","2011S0503580","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489179","22.2","1.78","","","","2"
"2015","Moncton, New Brunswick","2011S0503305","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154455","37.2","1.29","","","","2"
"2016","Moncton, New Brunswick","2011S0503305","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154455","37.2","0.63","","","","2"
"2017","Moncton, New Brunswick","2011S0503305","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154455","37.2","0.63","","","","2"
"2018","Moncton, New Brunswick","2011S0503305","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154455","37.2","1.24","","","","2"
"2019","Moncton, New Brunswick","2011S0503305","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154455","37.2","2.43","","","","2"
"2015","Trois-Rivières, Quebec","2011S0503442","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489187","26.2","1.30","","","","2"
"2016","Trois-Rivières, Quebec","2011S0503442","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489187","26.2","0.00","","","","2"
"2017","Trois-Rivières, Quebec","2011S0503442","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489187","26.2","0.64","","","","2"
"2018","Trois-Rivières, Quebec","2011S0503442","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489187","26.2","1.27","","","","2"
"2019","Trois-Rivières, Quebec","2011S0503442","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489187","26.2","0.00","","","","2"
"2015","Brantford, Ontario","2011S0503543","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154454","36.2","0.00","","","","2"
"2016","Brantford, Ontario","2011S0503543","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154454","36.2","2.76","","","","2"
"2017","Brantford, Ontario","2011S0503543","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154454","36.2","3.41","","","","2"
"2018","Brantford, Ontario","2011S0503543","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154454","36.2","3.37","","","","2"
"2019","Brantford, Ontario","2011S0503543","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154454","36.2","2.66","","","","2"
"2015","Guelph, Ontario","2011S0503550","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154456","38.2","1.51","","","","2"
"2016","Guelph, Ontario","2011S0503550","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154456","38.2","0.73","","","","2"
"2017","Guelph, Ontario","2011S0503550","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154456","38.2","0.72","","","","2"
"2018","Guelph, Ontario","2011S0503550","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154456","38.2","0.71","","","","2"
"2019","Guelph, Ontario","2011S0503550","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154456","38.2","0.00","","","","2"
"2015","Saint John, New Brunswick","2011S0503310","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489185","25.2","2.34","","","","2"
"2016","Saint John, New Brunswick","2011S0503310","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489185","25.2","2.33","","","","2"
"2017","Saint John, New Brunswick","2011S0503310","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489185","25.2","0.77","","","","2"
"2018","Saint John, New Brunswick","2011S0503310","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489185","25.2","0.77","","","","2"
"2019","Saint John, New Brunswick","2011S0503310","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489185","25.2","2.30","","","","2"
"2015","Peterborough, Ontario","2011S0503529","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154457","39.2","0.82","","","","2"
"2016","Peterborough, Ontario","2011S0503529","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154457","39.2","1.62","","","","2"
"2017","Peterborough, Ontario","2011S0503529","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154457","39.2","0.80","","","","2"
"2018","Peterborough, Ontario","2011S0503529","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154457","39.2","0.78","","","","2"
"2019","Peterborough, Ontario","2011S0503529","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v52154457","39.2","0.78","","","","2"
"2015","Thunder Bay, Ontario","2011S0503595","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489189","27.2","2.46","","","","2"
"2016","Thunder Bay, Ontario","2011S0503595","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489189","27.2","6.55","","","","2"
"2017","Thunder Bay, Ontario","2011S0503595","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489189","27.2","5.69","","","","2"
"2018","Thunder Bay, Ontario","2011S0503595","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489189","27.2","6.38","","","","2"
"2019","Thunder Bay, Ontario","2011S0503595","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489189","27.2","5.56","","","","2"
"2016","Lethbridge, Alberta","2011S0503810","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1064468060","40.2","3.34","","","","2"
"2017","Lethbridge, Alberta","2011S0503810","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1064468060","40.2","1.65","","","","2"
"2018","Lethbridge, Alberta","2011S0503810","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1064468060","40.2","0.00","","","","2"
"2019","Lethbridge, Alberta","2011S0503810","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1064468060","40.2","0.00","","","","2"
"2016","Belleville, Ontario","2011S0503522","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1064468062","41.2","3.98","","","","2"
"2017","Belleville, Ontario","2011S0503522","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1064468062","41.2","1.96","","","","2"
"2018","Belleville, Ontario","2011S0503522","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1064468062","41.2","0.90","","","","2"
"2019","Belleville, Ontario","2011S0503522","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1064468062","41.2","3.54","","","","2"
"2015","Non-Census metropolitan area","","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489193","29.2","2.07","","","","2"
"2016","Non-Census metropolitan area","","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489193","29.2","1.80","","","","2"
"2017","Non-Census metropolitan area","","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489193","29.2","2.26","","","","2"
"2018","Non-Census metropolitan area","","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489193","29.2","2.00","","","","2"
"2019","Non-Census metropolitan area","","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489193","29.2","2.19","","","","2"


