"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010/2011","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","1193.3","","","","1"
"2011/2012","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","16098.8","","","","1"
"2011/2012","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","34469.3","","","","1"
"2011/2012","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","467.0","","","","1"
"2011/2012","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","476.3","","","","1"
"2011/2012","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","525.9","","","","1"
"2011/2012","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","905.7","","","","1"
"2011/2012","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","127.1","","","","1"
"2011/2012","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","144.5","","","","1"
"2011/2012","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","879.7","","","","1"
"2011/2012","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","602.5","","","","1"
"2011/2012","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","945.3","","","","1"
"2011/2012","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","637.4","","","","1"
"2011/2012","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","441.8","","","","1"
"2011/2012","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","755.7","","","","1"
"2011/2012","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","584.6","","","","1"
"2011/2012","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","5259.0","","","","1"
"2011/2012","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","8031.4","","","","1"
"2011/2012","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","654.8","","","","1"
"2011/2012","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","2641.2","","","","1"
"2011/2012","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","13317.1","","","","1"
"2011/2012","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","198.3","","","","1"
"2011/2012","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","582.6","","","","1"
"2011/2012","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1237.8","","","","1"
"2011/2012","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","470.7","","","","1"
"2011/2012","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","598.4","","","","1"
"2011/2012","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1070.9","","","","1"
"2011/2012","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","558.8","","","","1"
"2011/2012","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","2724.0","","","","1"
"2011/2012","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","3807.0","","","","1"
"2011/2012","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","715.5","","","","1"
"2011/2012","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2297.0","","","","1"
"2011/2012","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4520.3","","","","1"
"2011/2012","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","508.2","","","","1"
"2011/2012","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","99.3","","","","1"
"2011/2012","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","35.5","","","","1"
"2011/2012","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","2793.3","","","","1"
"2011/2012","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","210.4","","","","1"
"2011/2012","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","43.5","","","","1"
"2011/2012","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","4832.9","","","","1"
"2011/2012","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","39.2","","","","1"
"2011/2012","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","34.4","","","","1"
"2011/2012","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","1140.5","","","","1"
"2012/2013","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","19809.0","","","","1"
"2012/2013","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","34880.9","","","","1"
"2012/2013","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","567.9","","","","1"
"2012/2013","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","395.6","","","","1"
"2012/2013","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","527.3","","","","1"
"2012/2013","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","750.2","","","","1"
"2012/2013","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","121.7","","","","1"
"2012/2013","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","145.2","","","","1"
"2012/2013","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","838.1","","","","1"
"2012/2013","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","603.5","","","","1"
"2012/2013","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","945.0","","","","1"
"2012/2013","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","638.6","","","","1"
"2012/2013","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","900.5","","","","1"
"2012/2013","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","756.8","","","","1"
"2012/2013","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","1189.9","","","","1"
"2012/2013","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","7100.5","","","","1"
"2012/2013","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","8108.3","","","","1"
"2012/2013","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","875.7","","","","1"
"2012/2013","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","4164.4","","","","1"
"2012/2013","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","13463.3","","","","1"
"2012/2013","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","309.3","","","","1"
"2012/2013","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","602.7","","","","1"
"2012/2013","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1254.6","","","","1"
"2012/2013","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","480.3","","","","1"
"2012/2013","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","582.6","","","","1"
"2012/2013","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1091.9","","","","1"
"2012/2013","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","533.6","","","","1"
"2012/2013","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","2588.1","","","","1"
"2012/2013","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","3908.8","","","","1"
"2012/2013","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","662.1","","","","1"
"2012/2013","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2371.0","","","","1"
"2012/2013","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4564.9","","","","1"
"2012/2013","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","519.4","","","","1"
"2012/2013","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","113.6","","","","1"
"2012/2013","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","36.2","","","","1"
"2012/2013","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","3135.0","","","","1"
"2012/2013","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","204.9","","","","1"
"2012/2013","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","43.6","","","","1"
"2012/2013","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","4697.2","","","","1"
"2012/2013","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","59.8","","","","1"
"2012/2013","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","34.9","","","","1"
"2012/2013","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","1714.2","","","","1"
"2013/2014","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","22481.6","","","","1"
"2013/2014","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","35293.3","","","","1"
"2013/2014","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","637.0","","","","1"
"2013/2014","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","395.6","","","","1"
"2013/2014","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","528.5","","","","1"
"2013/2014","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","748.6","","","","1"
"2013/2014","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","108.8","","","","1"
"2013/2014","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","145.3","","","","1"
"2013/2014","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","748.8","","","","1"
"2013/2014","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","624.6","","","","1"
"2013/2014","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","943.6","","","","1"
"2013/2014","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","662.0","","","","1"
"2013/2014","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","391.9","","","","1"
"2013/2014","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","755.6","","","","1"
"2013/2014","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","518.6","","","","1"
"2013/2014","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","10005.8","","","","1"
"2013/2014","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","8174.3","","","","1"
"2013/2014","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","1224.1","","","","1"
"2013/2014","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","4330.7","","","","1"
"2013/2014","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","13609.5","","","","1"
"2013/2014","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","318.2","","","","1"
"2013/2014","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","646.4","","","","1"
"2013/2014","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1269.6","","","","1"
"2013/2014","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","509.1","","","","1"
"2013/2014","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","626.7","","","","1"
"2013/2014","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1109.7","","","","1"
"2013/2014","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","564.7","","","","1"
"2013/2014","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","2404.4","","","","1"
"2013/2014","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","4029.1","","","","1"
"2013/2014","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","596.8","","","","1"
"2013/2014","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2448.5","","","","1"
"2013/2014","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4612.7","","","","1"
"2013/2014","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","530.8","","","","1"
"2013/2014","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","113.5","","","","1"
"2013/2014","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","36.2","","","","1"
"2013/2014","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","3134.5","","","","1"
"2013/2014","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","260.9","","","","1"
"2013/2014","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","43.7","","","","1"
"2013/2014","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","5969.5","","","","1"
"2013/2014","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","123.7","","","","1"
"2013/2014","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","35.6","","","","1"
"2013/2014","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","3474.0","","","","1"
"2014/2015","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","22481.5","","","","1"
"2014/2015","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","35677.5","","","","1"
"2014/2015","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","630.1","","","","1"
"2014/2015","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","429.5","","","","1"
"2014/2015","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","528.7","","","","1"
"2014/2015","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","812.3","","","","1"
"2014/2015","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","114.9","","","","1"
"2014/2015","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","146.2","","","","1"
"2014/2015","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","785.8","","","","1"
"2014/2015","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","653.6","","","","1"
"2014/2015","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","944.1","","","","1"
"2014/2015","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","692.3","","","","1"
"2014/2015","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","411.2","","","","1"
"2014/2015","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","755.3","","","","1"
"2014/2015","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","544.4","","","","1"
"2014/2015","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","9604.6","","","","1"
"2014/2015","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","8235.2","","","","1"
"2014/2015","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","1166.3","","","","1"
"2014/2015","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","4647.1","","","","1"
"2014/2015","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","13735.3","","","","1"
"2014/2015","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","338.3","","","","1"
"2014/2015","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","810.4","","","","1"
"2014/2015","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1285.8","","","","1"
"2014/2015","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","630.3","","","","1"
"2014/2015","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","693.7","","","","1"
"2014/2015","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1125.1","","","","1"
"2014/2015","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","616.6","","","","1"
"2014/2015","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","2252.5","","","","1"
"2014/2015","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","4133.6","","","","1"
"2014/2015","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","544.9","","","","1"
"2014/2015","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2286.8","","","","1"
"2014/2015","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4670.9","","","","1"
"2014/2015","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","489.6","","","","1"
"2014/2015","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","137.0","","","","1"
"2014/2015","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","37.0","","","","1"
"2014/2015","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","3701.5","","","","1"
"2014/2015","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","349.0","","","","1"
"2014/2015","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","44.1","","","","1"
"2014/2015","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","7920.8","","","","1"
"2014/2015","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","91.2","","","","1"
"2014/2015","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","36.2","","","","1"
"2014/2015","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","2520.9","","","","1"
"2015/2016","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","24472.2","","","","1"
"2015/2016","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","35981.7","","","","1"
"2015/2016","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","680.1","","","","1"
"2015/2016","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","422.4","","","","1"
"2015/2016","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","529.4","","","","1"
"2015/2016","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","797.9","","","","1"
"2015/2016","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","119.4","","","","1"
"2015/2016","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","147.0","","","","1"
"2015/2016","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","812.3","","","","1"
"2015/2016","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","653.6","","","","1"
"2015/2016","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","945.2","","","","1"
"2015/2016","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","691.5","","","","1"
"2015/2016","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","506.5","","","","1"
"2015/2016","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","754.5","","","","1"
"2015/2016","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","671.4","","","","1"
"2015/2016","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","10281.1","","","","1"
"2015/2016","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","8279.2","","","","1"
"2015/2016","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","1241.8","","","","1"
"2015/2016","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","5339.9","","","","1"
"2015/2016","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","13854.2","","","","1"
"2015/2016","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","385.4","","","","1"
"2015/2016","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","943.0","","","","1"
"2015/2016","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1301.4","","","","1"
"2015/2016","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","724.6","","","","1"
"2015/2016","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","790.9","","","","1"
"2015/2016","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1137.4","","","","1"
"2015/2016","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","695.4","","","","1"
"2015/2016","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","2489.5","","","","1"
"2015/2016","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","4201.5","","","","1"
"2015/2016","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","592.5","","","","1"
"2015/2016","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2337.5","","","","1"
"2015/2016","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4713.8","","","","1"
"2015/2016","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","495.9","","","","1"
"2015/2016","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","137.0","","","","1"
"2015/2016","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","37.2","","","","1"
"2015/2016","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","3679.3","","","","1"
"2015/2016","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","324.9","","","","1"
"2015/2016","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","44.4","","","","1"
"2015/2016","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","7317.8","","","","1"
"2015/2016","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","126.6","","","","1"
"2015/2016","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","36.7","","","","1"
"2015/2016","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","3453.5","","","","1"
